ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
490238000,274900,29330436,1102,RIVER RD,,PT LOT 407 LOCUST GROVE EXTD,8755.56
510011000,342200,29330437,848,ST CHARLES AVE,,LOT 2 LOCUST GROVE,19994.04
520017100,555000,29330438,758,LEXINGTON AVE,,LOT 1 P E TAYLOR DEV,16030.08
510010000,748600,29330439,853,LOCUST AVE,,LOT LOCUST GROVE,15986.52
490235100,10400,29330440,0,OFF RIVER RD,,PT LOT 407 LOCUST GROVE,47480.4
510100100,326000,29330441,1010,LONG ST,,LOT A-1 LOCUST GROVE,7448.76
490241000,2422100,29330442,1028,RIVER RD,,LOT 408-A LOCUST GROVE EXTD,219150.36
510100000,373200,29330443,1012,LONG ST,,LOT A-2 LOCUST GROVE,8842.68
490239000,82700,29330444,0,RIVER RD,,PT LOT 407 LOCUST GROVE EXTD,3354.12
510093000,1049800,29330445,864,LOCUST AVE,,LOT A LOCUST GROVE,36895.32
510012000,587600,29330446,849,LOCUST AVE,,LOT LOCUST GROVE,19994.04
510011100,890700,29330447,851,LOCUST AVE,,LOT LOCUST GROVE,19994.04
510013000,22100,29330448,0,ST CHARLES AVE,,LOT 13B LOCUST GROVE,10018.8
510101000,327600,29330449,1014,LONG ST,,LOT B LOCUST GROVE,9713.88
510092000,2386100,29330450,854,LOCUST AVE,,LOT A LOCUST GROVE,36024.12
510014000,580500,29330451,841,LOCUST AVE,,LOT LOCUST GROVE,20516.76
510094100,474500,29330452,841,ST CLAIR AVE,,LOT B LOCUST GROVE,25918.2
510102000,346600,29330453,1016,LONG ST,,LOT C LOCUST GROVE,9496.08
510015000,514000,29330454,833,LOCUST AVE,,LOT LOCUST GROVE,20429.64
510013100,888100,29330455,843,LOCUST AVE,,LOT 13A LOCUST GROVE,10018.8
510017000,22100,29330456,0,ST CHARLES AVE,,LOT LOCUST GROVE,10236.6
510089000,1688400,29330457,850,LOCUST AVE,,LOT 1 LOCUST GROVE,41686.92
510093100,486000,29330458,837,ST CLAIR AVE,,LOT B LOCUST GROVE,21692.88
510103000,324700,29330459,1200,LONG ST,,LOT 1 BK 1 RIVERDALE,10585.08
510018100,23800,29330460,0,ST CHARLES AVE,,LOT 2 LOCUST GROVE,14984.64
510104000,7900,29330461,1202,LONG ST,,LOTS 2 & 3 BK 1 RIVERDALE,6403.32
510113000,345400,29330462,840,ST CLAIR AVE,,LOT 2 BK 2 GRAYSON COURT,12414.6
510088000,1131100,29330463,834,LOCUST AVE,,LOT 1 LOCUST GROVE,71394.84
510088000,1131100,29330463,834,LOCUST AVE,,LOT 1 LOCUST GROVE,71394.84
510016000,402900,29330464,815,LOCUST AVE,,LOT LOCUST GROVE,10018.8
510091000,249400,29330465,829,ST CLAIR AVE,,LOT Z,9757.44
510105000,7900,29330466,1206,LONG ST,,LOTS 4 & 5 BK 1 RIVERDALE,6708.24
510019100,23800,29330467,0,ST CHARLES AVE,,LOT B LOCUST GROVE,14984.64
490243000,1126800,29330468,900,RIVER RD,,LOT 410-A LOCUST GROVE EXTD,161215.56
510106000,7900,29330469,1210,LONG ST,,LOTS 6 & 7 BK 1 RIVERDALE,7013.16
510018000,474200,29330470,813,LOCUST AVE,,LOT 1 LOCUST GROVE,14984.64
510114000,318000,29330471,838,ST CLAIR AVE,,LOT 1 BK 2 GRAYSON COURT,8494.2
510091100,449600,29330472,831,ST CLAIR AVE,,LOT Y,0
510112000,321200,29330473,1205,MOWBRAY PL,,LOT 3 BK 2 GRAYSON COURT,11194.92
510107000,7900,29330474,1212,LONG ST,,LOTS 8 & 9 BK 1 RIVERDALE,7318.08
510020000,462000,29330475,807,LOCUST AVE,,LOT 2 LOCUST GROVE,20386.08
510111000,336500,29330476,1207-09,MOWBRAY PL,,LOT 4 BK 2 GRAYSON COURT,10715.76
510090000,281800,29330477,825,ST CLAIR AVE,,LOT X,9888.12
510108000,568500,29330478,1214,LONG ST,,LOTS 10-12 BK 1 RIVERDALE,9539.64
510019000,907700,29330479,809,LOCUST AVE,,LOT A LOCUST GROVE,14984.64
510021000,747600,29330480,805,LOCUST AVE,,PARCEL 21 LOCUST GROVE,29838.6
510110000,312200,29330481,1211,MOWBRAY PL,,LOT 5 BK 2 GRAYSON COURT,10497.96
510090100,414900,29330482,827,ST CLAIR AVE,,LOT W,9191.16
510085000,1180900,29330483,824,LOCUST AVE,,LOT LOCUST GROVE,20647.44
510115000,304000,29330484,832,ST CLAIR AVE,,LOT 5 BK 1 GRAYSON COURT,11979
510088100,465400,29330485,823,ST CLAIR AVE,,LOT 2 LOCUST GROVE,16291.44
510116000,390900,29330486,828,ST CLAIR AVE,,LOT 4 BK 1 GRAYSON COURT,10497.96
510074000,1404600,29330487,810,LOCUST AVE,,LOT LOCUST GROVE,88121.88
510120000,343700,29330488,1206,MOWBRAY PL,,LOT 7A BK 1 ST JAMES,7187.4
510117000,450300,29330489,826,ST CLAIR AVE,,LOT 3 BK 1 GRAYSON COURT,9757.44
510088200,506600,29330490,821,ST CLAIR AVE,,LOT 3,16291.44
510121000,343000,29330491,804,ST JAMES CIR,,LOT 6A BK 1 ST JAMES,6882.48
510118000,475700,29330492,822,ST CLAIR AVE,,PT LOT 2 BK 1 GRAYSON COURT,11717.64
510086000,375600,29330493,815,ST CLAIR AVE,,LOT & PARCELS X & Y LOCUST GRO,19558.44
510122000,323400,29330494,1210,MOWBRAY PL,,LOT 8 BK 1 GRAYSON COURT,9191.16
510084000,468300,29330495,811,ST CLAIR AVE,,"REAR LOT,STRIP,LOT 3 LOCUST",27791.28
510119000,274500,29330496,806,ST JAMES CIR,,LOT 12A ST JAMES,7448.76
510123000,312100,29330497,1212,MOWBRAY PL,,LOT 9 BK 1 GRAYSON COURT,8624.88
510087000,98100,29330498,813,ST CLAIR AVE,,LOT LOCUST GROVE,15289.56
510128000,466200,29330499,818,ST CLAIR AVE,,LOT 1&PT 2 BK 1 GRAYSON COURT,16857.72
510128000,466200,29330499,818,ST CLAIR AVE,,LOT 1&PT 2 BK 1 GRAYSON COURT,16857.72
510119100,307100,29330500,808,ST JAMES CIR,,LOT 13A ST JAMES,8755.56
510026000,984400,29330501,731,LOCUST AVE,,PARCEL X&Y LOCUST GROVE,25569.72
510124000,303000,29330502,818,ST JAMES CIR,,LOT 18A ST JAMES,8973.36
500001200,500,29330503,0,LONG ST,,PT LOT 21 BK 2 RIVERDALE,914.76
500001100,2100,29330504,0,LONG ST,,PT LOT 21 BK 2 RIVERDALE,1089
510129200,343400,29330505,814,ST CLAIR AVE,,LOT,9931.68
500002000,199100,29330506,1324,LONG ST,,LOTS 22 & 23 BK 2 RIVERDALE,4268.88
510127000,359000,29330507,810,ST JAMES CIR,,LOT 14A ST JAMES,10018.8
500003000,223300,29330508,1326,LONG ST,,LOTS 24 & 25 BK 2 RIVERDALE,4268.88
510125000,286000,29330509,816,ST JAMES CIR,,LOT 17A ST JAMES,9016.92
510129300,308000,29330510,810-812,ST CLAIR AVE,,LOT C,7230.96
500005300,304400,29330511,1328,LONG ST,,LOTS 26 & 27 BK 2 RIVERDALE,6011.28
510075000,641800,29330512,1029,HAZEL ST,,LOT 4 & REAR LOT LOCUST GROVE,10367.28
510082000,91800,29330513,0,ST CLAIR AVE,,LOT 2 LOCUST GROVE,9626.76
510135600,294600,29330514,818,VALLEY VIEW CIR,,LOT 15 BK 1 VALLEY VIEW,7710.12
510135500,305200,29330515,816,VALLEY VIEW CIR,,LOT 14 BK 1 VALLEY VIEW,8668.44
510126000,314900,29330516,814,ST JAMES CIR,,LOT 16A ST JAMES,9583.2
510127100,270200,29330517,812,ST JAMES CIR,,LOT 15A ST JAMES,10628.64
510073000,468300,29330518,734,LOCUST AVE,,LOTS 9 & 10 BK 19 LOCUST GROVE,13111.56
510073000,468300,29330518,734,LOCUST AVE,,LOTS 9 & 10 BK 19 LOCUST GROVE,13111.56
500004000,240800,29330519,1320,RIVERDALE DR,,"LOT 32,33&PT 34 BK 2 RIVERDALE",740.52
510129100,308000,29330520,806-808,ST CLAIR AVE,,LOT B,7230.96
510028100,531000,29330521,708,ST CHARLES AVE,,LOT D BK 18 LOCUST GROVE,10410.84
510129400,413300,29330522,802,ST CLAIR AVE,,LOT A2,16596.36
500009000,1273000,29330523,0,LONG ST,,"LOTS 4,5,6,PT LOT RIVERDALE",28575.36
500005200,378400,29330524,1322,RIVERDALE DR,,LOTS 30 & 31 BK 2 RIVERDALE,6185.52
510081000,207500,29330525,807,ST CLAIR AVE,,LOT 1 LOCUST GROVE,9757.44
510077000,575300,29330526,1033,HAZEL ST,,LOT 3 & REAR LOT,10454.4
500005000,467200,29330527,1328,RIVERDALE DR,,LOT BK 2 RIVERDALE,27965.52
500005100,378400,29330528,1324,RIVERDALE DR,,LOTS 28 & 29 BK 2 RIVERDALE,7143.84
510135700,303800,29330529,820,VALLEY VIEW CIR,,LOT 16 BK 1 VALLEY VIEW,7361.64
510078000,751100,29330530,1107,HAZEL ST,,LOT 2,9016.92
510135400,282500,29330531,814,VALLEY VIEW CIR,,LOT 13 BK 1 VALLEY VIEW,8668.44
510072000,418400,29330532,724,LOCUST AVE,,LOT B LOCUST GROVE,11238.48
510129000,625000,29330533,1201,HAZEL ST,,LOT A1,17249.76
510079000,643700,29330534,1111,HAZEL ST,,LOT 1 LOCUST GROVE,8494.2
510059000,120400,29330535,0,HAZEL ST,,LOT LOCUST GROVE,10497.96
510029100,392400,29330536,706,ST CHARLES AVE,,LOT C BK 18 LOCUST GROVE,7187.4
510130000,329600,29330537,1205,HAZEL ST,,LOT 1 BK 1,11586.96
510135800,312800,29330538,822,VALLEY VIEW CIR,,LOT 17 BK 1 VALLEY VIEW,7492.32
510080000,539300,29330539,1115,HAZEL ST,,LOT LOCUST GROVE,9016.92
510131000,303100,29330540,1207,HAZEL ST,,LOT 2 BK 1,10018.8
500028000,237800,29330541,1317,RIVERDALE DR,,PT LOTS 23 & 24 BK 4 RIVERDALE,6708.24
510058000,645400,29330542,1012,HAZEL ST,,LOT LOCUST GROVE,11717.64
510071000,763200,29330543,722,LOCUST AVE,,LOT A BK 19 LOCUST GROVE,11238.48
510029200,383000,29330544,704,ST CHARLES AVE,,LOT B BK 18 LOCUST GROVE,7187.4
510135300,331800,29330545,812,VALLEY VIEW CIR,,LOT 12 BK 1 VALLEY VIEW,7710.12
500031600,270600,29330546,1401,GRACE ST,,LOT 12 LOCUST GROVE,6185.52
510135900,287200,29330547,824,VALLEY VIEW CIR,,LOT 18 BK 1 VALLEY VIEW,7492.32
500024000,331200,29330548,1319,RIVERDALE DR,,LOTS 25 & 26 BK 4 RIVERDALE,7666.56
510029000,732600,29330549,711,LOCUST AVE,,LOT A BK 18 LOCUST GROVE,12240.36
500008000,184600,29330550,0,E HIGH ST,,LOT 3 BK 3 RIVERDALE,7013.16
510135200,315600,29330551,810,VALLEY VIEW CIR,,LOT 11 BK 1 VALLEY VIEW,7361.64
500031500,267900,29330552,1405,GRACE ST,,LOT 11 LOCUST GROVE,6272.64
510030100,416800,29330553,700,ST CHARLES AVE,,LOT A BK 18 LOCUST GROVE ADD,6621.12
500012100,13600,29330554,0,LONG ST,,PT PARCEL W,27486.36
500012000,63800,29330555,1601,LONG ST,,PT PARCEL W,3397.68
500023000,998900,29330556,1329,RIVERDALE DR,,LOTS 27-34 BK 4 RIVERDALE,28226.88
510132000,439200,29330557,1209,HAZEL ST,,LOT 3 BK 1,7492.32
510070000,517400,29330558,716,LOCUST AVE,,LOT 5 BK 19 LOCUST GROVE,7492.32
510135100,405500,29330559,808,VALLEY VIEW CIR,,LOT 10 BK 1 VALLEY VIEW,7492.32
510057000,878000,29330560,730,GROVE AVE,,PT LOTS 7-9 BK 20 LOCUST GROVE,13068
510060000,414300,29330561,711,GROVE AVE,,PT LOT 16 BK 19 LOCUST GROVE,9016.92
510030300,447400,29330562,905,POPLAR ST,,LOT B BK 18 LOCUST GROVE,6098.4
500007000,150600,29330563,0,E HIGH ST,,LOT 2 BK 3 RIVERDALE,5314.32
510133000,332900,29330564,1211,HAZEL ST,,LOT 4 BK 1,7492.32
500031400,337800,29330565,1407,GRACE ST,,LOT 10 LOCUST GROVE,6359.76
500006000,172000,29330566,0,E HIGH ST,,LOT 1 BK 3 RIVERDALE,6534
500027000,286800,29330567,1317,WILLOW DR,,"LOT 54,55&PAR A BK 4 RIVERDALE",5009.4
510030200,562600,29330568,703,LOCUST AVE,,PT LOT 2 BK 18 LOCUST GROVE,6316.2
510069000,803000,29330569,714,LOCUST AVE,,LOT 4 BK 19 LOCUST GROVE,7492.32
510134000,512200,29330570,1213,HAZEL ST,,LOT 5 BK 1,7492.32
510135000,332500,29330571,806,VALLEY VIEW CIR,,LOT 9 BK 1 VALLEY VIEW,7492.32
500026000,267500,29330572,1319,WILLOW DR,,LOTS 52 & 53 BK 4 RIVERDALE,5009.4
510056000,700700,29330573,1104,HAZEL ST,,PT LOTS 7-9 BK 20 LOCUST GROVE,10454.4
500031300,308000,29330574,1413,GRACE ST,,LOT 9 LOCUST GROVE,6446.88
510154000,804700,29330575,1200,HAZEL ST,,LOTS 1 & 2 BK 2,16509.24
510061000,462600,29330576,709,GROVE AVE,,LOT 15 BK 19 LOCUST GROVE,7492.32
510068000,465300,29330577,708,LOCUST AVE,,LOT 3 BK 19 LOCUST GROVE,7492.32
510136000,319200,29330578,1215,HAZEL ST,,LOT 6 BK 1,7492.32
510030000,667700,29330579,701,LOCUST AVE,,PT LOT 1 BK 18 LOCUST GROVE,6316.2
500013000,833600,29330580,1538,E HIGH ST,,"LOT 72,PT 71,LOT & PAR X,Y,Z",89167.32
500025000,235900,29330581,1321,WILLOW DR,,LOTS 50 & 51 BK 4 RIVERDALE,5009.4
500066100,367500,29330582,1406,GRACE ST,,LOT 16 LOCUST GROVE,7492.32
500031200,261900,29330583,1419,GRACE ST,,LOT 8 LOCUST GROVE,6534
500066000,330500,29330584,808,GILLESPIE AVE,,LOT Y LOCUST GROVE,7492.32
510031000,544800,29330585,621,LOCUST AVE,,LOT 6 BK 10 LOCUST GROVE,12588.84
510137100,441200,29330586,1217,HAZEL ST,,LOT 7 BK 1,7492.32
510152000,471100,29330587,1204,HAZEL ST,,LOT 3 BK 2,7492.32
500065000,412000,29330588,809,MOORE AVE,,LOT A LOCUST GROVE,6011.28
510062000,477200,29330589,707,GROVE AVE,,LOT 14 BK 19 LOCUST GROVE ADD,7492.32
510055100,386100,29330590,724,GROVE AVE,,LOT 6B BK 20 LOCUST GROVE,4791.6
500032800,291600,29330591,1316,WILLOW DR,,LOT 13 LOCUST GRVOE,10062.36
500022000,223800,29330592,1323,WILLOW DR,,LOTS 48 & 49 BK 4 RIVERDALE,5009.4
500019000,680900,29330593,1551,E HIGH ST,,LOTS 35-43 BK 4 RIVERDALE,17816.04
510067000,475400,29330594,704,LOCUST AVE,,LOT 2 BK 19 LOCUST GROVE,7492.32
510137000,861200,29330595,1221,HAZEL ST,,LOT 8 BK 1,7492.32
510151000,99800,29330596,1206,HAZEL ST,,LOT 4 BK 2,7492.32
500031100,300700,29330597,1421,GRACE ST,,LOT 7 LOCUST GROVE,6534
500021000,306000,29330598,1325,WILLOW DR,,LOTS 46 & 47 BK 4 RIVERDALE,5009.4
500021000,306000,29330598,1325,WILLOW DR,,LOTS 46 & 47 BK 4 RIVERDALE,5009.4
500032700,273100,29330599,1320,WILLOW DR,,LOT 14 LOCUST GROVE,7971.48
510032000,346800,29330600,608,ST CHARLES AVE,,LOT B BK 10 LOCUST GROVE,6316.2
510055000,284200,29330601,711,ST CLAIR AVE,,LOT 6A BK 20 LOCUST GROVE,4791.6
510063000,331100,29330602,705,GROVE AVE,,LOT 13 BK 19 LOCUST GROVE,7492.32
510054100,439200,29330603,712,GROVE AVE,,LOT 5B BK 20 LOCUST GROVE,4791.6
510150000,859100,29330604,1208,HAZEL ST,,LOT 5 & PT 6,11238.48
510066000,815200,29330605,700,LOCUST AVE,,LOT 1 BK 19 LOCUST GROVE,7492.32
500067000,262400,29330606,804,GILLESPIE AVE,,PT LOTS 1 & 2 LOCUST GROVE,6795.36
500060000,257300,29330607,808,MOORE AVE,,PT LOTS 19 & 20,7492.32
500020000,214500,29330608,1327,WILLOW DR,,LOTS 44 & 45 BK 4 RIVERDALE,5706.36
500031000,258300,29330609,1423,GRACE ST,,LOT 6 LOCUST GROVE,0
510033100,389600,29330610,606,ST CHARLES AVE,,LOT B BK 10 LOCUST GROVE,6316.2
510156000,279700,29330611,712,ST CLAIR AVE,,LOT C BK 2,13242.24
500032600,270900,29330612,1324,WILLOW DR,,LOT 15 LOCUST GROVE,7318.08
510147000,481400,29330613,1214,HAZEL ST,,LOT 7 & PT LOT 6 BK 2,11238.48
500032400,279100,29330614,1425,GRACE ST,,LOT 5 LOCUST GROVE,5924.16
510064000,379100,29330615,703,GROVE AVE,,LOT 12 BK 19 LOCUST GROVE,7492.32
510054000,567400,29330616,709,ST CLAIR AVE,,LOT 5A BK 20 LOCUST GROVE,4791.6
510053000,333800,29330617,706,GROVE AVE,,LOT 4B BK 20 LOCUST GROVE,0
500015000,178800,29330618,1530,E HIGH ST,,LOT 70&PT 71 BK A GOLF CLUB,13982.76
510032100,575800,29330619,619,LOCUST AVE,,LOT A BK 10 LOCUST GROVE,6316.2
500068100,358600,29330620,1403,HAZEL ST,,LOT B,8276.4
500068000,248600,29330621,1301,HAZEL ST,,LOT A,15681.6
500059000,209000,29330622,1411,HAZEL ST,,LOT 8  LOCUST GROVE,7535.88
500032300,289400,29330623,1427,GRACE ST,,LOT 4 LOCUST GROVE,6011.28
510034000,761700,29330624,609,LOCUST AVE,,LOT 3 BK 10 LOCUST GROVE,12588.84
500061000,264700,29330625,804,MOORE AVE,,PT LOTS 19 & 20,7492.32
500064100,214000,29330626,805,MOORE AVE,,LOT C LOCUST GROVE,5009.4
510065000,293700,29330627,701,GROVE AVE,,LOT 11 BK 19 LOCUST GROVE,7492.32
510157000,280900,29330628,710,ST CLAIR AVE,,LOT B BK 2,13242.24
510041000,943900,29330629,622,LOCUST AVE,,LOT 6 BK 11 LOCUST GROVE,0
500032500,231900,29330630,1521,E HIGH ST,,LOT 16 LOCUST GROVE,6534
510053100,235700,29330631,707,ST CLAIR AVE,,LOT 4A BK 20 LOCUST GROVE,0
510033000,790600,29330632,613,LOCUST AVE,,LOT 4A BK 10 LOCUST GROVE,6316.2
510140000,294300,29330633,1218,HAZEL ST,,PT LOT 8 BK 2,7013.16
510052000,357700,29330634,704,GROVE AVE,,PT LOT 3 BK 20 LOCUST GROVE,0
500032200,338000,29330635,1429,GRACE ST,,LOT 3 LOCUST GROVE,6011.28
510139000,321500,29330636,1220,HAZEL ST,,LOT 9 & PT 8 BK 2,14984.64
510036200,416000,29330637,913,SYCAMORE ST,,LOT D BK 10 LOCUST GROVE,6621.12
500064000,260500,29330638,1407,HAZEL ST,,LOT A LOCUST GROVE,5009.4
500064000,260500,29330638,1407,HAZEL ST,,LOT A LOCUST GROVE,5009.4
500032100,266200,29330639,1431,GRACE ST,,LOT 2 LOCUST GROVE,6011.28
500033000,101200,29330640,0,E HIGH ST,,PT LOT 2 LOCUST GROVE,3484.8
510040000,472600,29330641,616,LOCUST AVE,,LOT 5 BK 11 LOCUST GROVE,7492.32
510052100,263700,29330642,705,ST CLAIR AVE,,PT LOT 3 BK 20 LOCUST GROVE,0
510138000,343800,29330643,1222,HAZEL ST,,LOT 10 BK 2,7492.32
510146000,22100,29330644,0,HILLCREST AVE,,LOT 16 BK 2,7492.32
510158000,291000,29330645,708,ST CLAIR AVE,,LOT A BK 2,11499.84
500063000,293800,29330646,1409,HAZEL ST,,LOT B LOCUST GROVE,5009.4
500062000,253200,29330647,1401,HAZEL ST,,LOT 6 LOCUST GROVE,7448.76
500016000,216700,29330648,0,E HIGH ST,,PT LOT 69 BK A GOLF CLUB,4573.8
510036000,399400,29330649,915,SYCAMORE ST,,LOT C BK 10 LOCUST GROVE,6621.12
500051000,456700,29330650,810,WARD AVE,,LOT B LOCUST GROVE,11238.48
500144000,732100,29330651,0,E HIGH ST,,19.91 ACRES WATKINS PLAT,867279.6
510042000,616300,29330652,619,GROVE AVE,,LOT 12 & PT 11 BK 11 LOCUST GR,0
500032000,257600,29330653,1433,GRACE ST,,LOT 1 LOCUST GROVE,6011.28
510039000,532400,29330654,612,LOCUST AVE,,LOT 4 BK 11 LOCUST GROVE,0
500034000,206300,29330655,0,E HIGH ST,,PT LOT 2 LOCUST GROVE,8028.108
510051100,323900,29330656,703,ST CLAIR AVE,,LOT 2A BK 20 LOCUST GROVE,0
510050000,353200,29330657,700,GROVE AVE,,LOT 1B BK 20 LOCUST GROVE,0
500017000,407700,29330658,1522,E HIGH ST,,PT LOTS 68&69 BK A GOLF CLUB,10977.12
500069000,411300,29330659,1400,HAZEL ST,,PT LOT 9 LOCUST GROVE,9452.52
510145000,22100,29330660,0,HILLCREST AVE,,LOT 15 BK 2,7492.32
510035000,358200,29330661,603,LOCUST AVE,,LOT A BK 10 LOCUST GROVE,6316.2
510159000,458000,29330662,1201,POPLAR ST,,LOT 5 LOCUST GROVE,8712
500070500,326200,29330663,1402,HAZEL ST,,LOT B LOCUST GROVE,8232.84
500035000,284200,29330664,1517,E HIGH ST,,LOT 1,4530.24
500052000,273000,29330665,808,WARD AVE,,LOT A LOCUST GROVE,11238.48
510051000,281300,29330666,701,ST CLAIR AVE,,LOT 1A BK 20 LOCUST GROVE,0
500059100,327800,29330667,1415,HAZEL ST,,LOT 9 LOCUST GROVE,7492.32
510038000,637700,29330668,610,LOCUST AVE,,LOT 3 BK 11 LOCUST GROVE,7492.32
510160000,293600,29330669,1203,POPLAR ST,,LOT 6 LOCUST GROVE,8712
500049000,542600,29330670,1509-11,E HIGH ST,,"LOTS 27,28,PT 29 LOCUST GROVE",12675.96
510141000,268300,29330671,711,GILLESPIE AVE,,LOT 11 BK 2,7492.32
510144000,22100,29330672,0,HILLCREST AVE,,LOT 14 BK 2,8407.08
510036100,581500,29330673,601,LOCUST AVE,,LOT B BK 10 LOCUST GROVE,6316.2
510043000,626300,29330674,611,GROVE AVE,,LOT 10 & PT 11 BK 11 LOCUST GR,0
500050000,0,29330675,1513,E HIGH ST,,PT LOT 29 LOCUST GROVE,7884.36
500070400,352500,29330676,1404,HAZEL ST,,LOT A LOCUST GROVE,8232.84
500055000,300300,29330677,1421,HAZEL ST,,LOT 10 LOCUST GROVE,7492.32
500018000,128500,29330678,0,E HIGH ST,,PT LOT 68A GOLF CLUB,4530.24
510161000,348800,29330679,1205,POPLAR ST,,LOT 7 LOCUST GROVE,9234.72
510049100,447500,29330680,612,GROVE AVE,,LOT A-1 BK 12 LOCUST GROVE ADD,0
500071000,314000,29330681,1408,HAZEL ST,,PT LOT 10 LOCUST GROVE,26048.88
510037100,505800,29330682,604,LOCUST AVE,,LOT 2 BK 11 LOCUST GROVE,7492.32
510162000,275600,29330683,1301,POPLAR ST,,LOT 8 LOCUST GROVE,8712
510142000,326800,29330684,709,GILLESPIE AVE,,LOT 12 BK 2,7492.32
500054000,324500,29330685,1425,HAZEL ST,,LOT 11 PARK PLACE,7492.32
500036000,309000,29330686,1518,E HIGH ST,,PT LOT 67 GOLF CLUB,7405.2
500036000,309000,29330686,1518,E HIGH ST,,PT LOT 67 GOLF CLUB,7405.2
500072000,329900,29330687,1410,HAZEL ST,,PT LOT 10 LOCUST GROVE,8407.08
510044000,727200,29330688,605,GROVE AVE,,PT LOTS 8&9 BK 11 LOCUST GROVE,11238.48
510163000,290200,29330689,1303,POPLAR ST,,LOT 9 LOCUST GROVE,8712
500053000,360500,29330690,1427,HAZEL ST,,LOT 12,7492.32
510037000,639300,29330691,602,LOCUST AVE,,LOT 1 BK 11 LOCUST GROVE,7492.32
510143000,385800,29330692,707,GILLESPIE AVE,,LOT 13 BK 2,8232.84
500038000,1480400,29330693,1500-12,E HIGH ST,,LOT & PT LOTS 63&64 GOLF CLUB,64033.2
500070300,285100,29330694,706,GILLESPIE AVE,,LOT C LOCUST GROVE,8712
510164000,288300,29330695,1305,POPLAR ST,,LOT 10 LOCUST GROVE,8712
510049200,98100,29330696,1110,POPLAR ST,,LOT C-1&STR BK 12 LOCUST GROVE,0
500073000,332400,29330697,1412,HAZEL ST,,LOT 1 LOCUST GROVE,9408.96
500048000,750600,29330698,1429,HAZEL ST,,LOT 13,16639.92
510049000,474400,29330699,608,GROVE AVE,,LOT B-1 & X BK 12 LOCUST GROVE,0
510165000,306300,29330700,1309,POPLAR ST,,LOT 11 LOCUST GROVE,8712
500074000,281600,29330701,1414,HAZEL ST,,LOT,6403.32
500070200,311600,29330702,704,GILLESPIE AVE,,LOT D LOCUST GROVE,8712
510045000,469400,29330703,601,GROVE AVE,,"LOT 7,PT 8 BK 11 LOCUST GROVE",0
510166000,366300,29330704,1311,POPLAR ST,,LOT 12 LOCUST GROVE,8712
510167000,294000,29330705,1313,POPLAR ST,,LOT 13 LOCUST GROVE,8712
510180000,537200,29330706,1200,POPLAR ST,,LOT 4 A,9365.4
510181000,260400,29330707,607-609,ORANGE ST,,LOT 4B,9844.56
500075000,342900,29330708,1418,HAZEL ST,,LOT 11 LOCUST GROVE,8102.16
500070100,333100,29330709,702,GILLESPIE AVE,,LOT E LOCUST GROVE,8712
510048000,590300,29330710,604,GROVE AVE,,PT LOT 1,9104.04
510168000,309700,29330711,1315,POPLAR ST,,LOT 14 LOCUST GROVE,8712
500076000,300000,29330712,1420,HAZEL ST,,LOT 10 LOCUST GROVE,8232.84
500044000,0,29330713,1430,E HIGH ST,,LOT,0
500044000,0,29330713,1430,E HIGH ST,,LOT,0
510179000,260400,29330714,1300,POPLAR ST,,LOT 15A,10236.6
500070000,260600,29330715,700,GILLESPIE AVE,,LOT F LOCUST GROVE,8189.28
500077000,322900,29330716,1424,HAZEL ST,,PT LOT 9 LOCUST GROVE,8624.88
510047000,508500,29330717,1115,SYCAMORE ST,,LOT 3 & PT 1,11543.4
500081000,422000,29330718,1431,E HIGH ST,,LOT 7,12196.8
510046000,456700,29330719,600,GROVE AVE,,PT LOT 12 LOCUST GROVE,0
500082000,325500,29330720,1429,E HIGH ST,,LOT 6,11412.72
510174000,199300,29330721,1304,POPLAR ST,,PT LOT 21,6011.28
500078000,145700,29330722,0,HAZEL ST,,PT LOT 9 LOCUST GROVE,5140.08
510182000,146100,29330723,605,ORANGE ST,,LOT 3 LOCUST GROVE,5793.48
500079000,186900,29330724,1437,E HIGH ST,,LOT LOCUST GROVE,5009.4
500087000,247000,29330725,1404,MOORES ST,,LOT B,14244.12
510179100,260400,29330726,608,ORANGE ST,,LOT 15B,8755.56
510173000,234800,29330727,1306,POPLAR ST,,LOT 5,6011.28
500088000,235500,29330728,612,GILLESPIE AVE,,LOT 4,9234.72
500047000,1053400,29330729,1428,E HIGH ST,,"LOTS 57,58 & PT 56 GOLF CLUB",25003.44
510184000,341600,29330730,1201,SYCAMORE ST,,LOT 1,11238.48
510172000,213800,29330731,1308,POPLAR ST,,LOT 4,6011.28
510171000,235100,29330732,1310,POPLAR ST,,LOT 3,6011.28
510171000,235100,29330732,1310,POPLAR ST,,LOT 3,6011.28
500080000,153200,29330733,1435,E HIGH ST,,PT LOT 8 LOCUST GROVE,4791.6
500089000,334300,29330734,610,GILLESPIE AVE,,LOT 3,9234.72
510170000,396800,29330735,1312,POPLAR ST,,LOT 2,5401.44
510178000,269700,29330736,606,ORANGE ST,,LOT 16,7405.2
510183000,273100,29330737,501,ORANGE ST,,LOT 2,8624.88
500087100,760200,29330738,1329,E HIGH ST,,LOT 1,15071.76
500046000,544400,29330739,1404,E HIGH ST,,LOT 55 & PT 56 GOLF CLUB,12850.2
