ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
030035000,403300,29322289,1619,HARDWOOD AVE,,LOT 4 BK CC WESTWOOD,15986.52
030040000,422800,29322290,1147,KENSINGTON AVE,,LOT 7 BK A WESTWOOD,21431.52
030139100,623100,29322291,0,CABELL AVE,,LOT B,37810.08
030136000,232600,29322292,936,HEMLOCK LN,,LOT 5,6969.6
030060100,461800,29322293,1609,CABELL AVE,,LOT 1 ROBINSON WOODS,0
030137000,219100,29322294,932,HEMLOCK LN,,LOT 6,7318.08
030039000,514700,29322295,1143,KENSINGTON AVE,,LOT 8 BK A WESTWOOD,38855.52
030138000,222000,29322296,930,HEMLOCK LN,,LOT 7,8015.04
030067100,412800,29322297,1605,CABELL AVE,,LOT 1,7448.76
030038000,413600,29322298,1630,HARDWOOD AVE,,LOT 9 BK A WESTWOOD,21387.96
030037000,386800,29322299,1624,HARDWOOD AVE,,LOT 10 BK A WESTWOOD,15986.52
030036000,432100,29322300,1620,HARDWOOD AVE,,LOT 11 BK A WESTWOOD,15986.52
030128000,1491000,29322301,832,CABELL AVE,,PT LOT 1 & PARCEL X,0
030069000,110000,29322302,0,PRESTON AVE,,LOT,6882.48
030068000,105000,29322303,101,BARBOUR DR,,LOT 1,6316.2
030126100,4946800,29322304,1123-29,PRESTON AVE,,PARCEL B PRESTON SQ APTS,1393920
030078000,525300,29322305,100,BARBOUR DR,,LOT 8,10193.04
030079000,531400,29322306,1614,CABELL AVE,,LOT 9,9844.56
030080000,2400,29322307,0,AMHERST CMN,,COMMON AREA-AMHERST COMMONS,21039.48
030070000,125000,29322308,0,PRESTON AVE,,LOT,8886.24
030071000,105000,29322309,103,BARBOUR DR,,LOT 2,6446.88
030077000,504800,29322310,102,BARBOUR DR,,LOT 7,9016.92
030073000,380200,29322311,1124,PRESTON AVE,A&B,PARCEL A,7971.48
030072000,105000,29322312,105,BARBOUR DR,,LOT 3,6272.64
030130000,447700,29322313,1117,PRESTON AVE,,LOT PRESTON HEIGHTS,13329.36
030130000,447700,29322313,1117,PRESTON AVE,,LOT PRESTON HEIGHTS,13329.36
030076000,290600,29322314,104,BARBOUR DR,,LOT 6,0
030074000,203700,29322315,107,BARBOUR DR,,LOT 4,6359.76
030075000,105000,29322316,106,BARBOUR DR,,LOT 5,7971.48
030126000,4792200,29322317,1111,PRESTON AVE,,PARCEL A PRESTON SQ APTS,0
