,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
2,62,010006000,2003-01-31,545000,,2028 BARRACKS RD,Single Family,38.0507653,-78.4980801,16
7,69,010010000,2018-10-31,575000,,1851 WESTVIEW RD,Single Family,38.048508399999996,-78.49866829999999,16
8,70,010011000,2018-01-10,970000,,1855 WESTVIEW RD,Single Family,38.0490375,-78.4983465,16
12,74,010012000,2015-05-04,512000,,1857 WESTVIEW RD,Single Family,38.04910770000001,-78.4990567,16
16,78,010014000,2007-06-26,975000,,1885 WESTVIEW RD,Single Family,38.0493467,-78.4994118,16
19,81,010015000,2002-07-03,480000,,1889 WESTVIEW RD,Single Family,38.049645399999996,-78.499545,16
24,86,010017000,2017-06-08,636000,,1893 WESTVIEW RD,Single Family-1 Conversion,38.050092799999994,-78.4999445,16
30,92,010017000,2018-10-19,1030000,,1893 WESTVIEW RD,Single Family-1 Conversion,38.050092799999994,-78.4999445,16
31,93,010017100,2000-09-14,459500,,1895 WESTVIEW RD,Single Family-2 Conversion,38.0504732,-78.4993333,16
32,94,010017100,2005-11-10,654750,,1895 WESTVIEW RD,Single Family-2 Conversion,38.0504732,-78.4993333,16
36,99,010019000,2002-05-23,85000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
37,100,010019000,2006-07-07,479500,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
39,102,010019000,2003-03-03,360000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
40,103,010019000,2001-11-01,70000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
41,104,010019000,2008-08-07,549000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
43,106,010020000,2010-08-04,962500,,1888 WESTVIEW RD,Single Family,38.049628000000006,-78.500349,16
44,107,010020000,2001-01-24,275000,,1888 WESTVIEW RD,Single Family,38.049628000000006,-78.500349,16
51,114,010022000,2019-09-04,1300000,,1882 WESTVIEW RD,Single Family,38.0491458,-78.4998557,16
56,119,010023000,2004-03-29,525000,,1880 WESTVIEW RD,Single Family,38.0489287,-78.4997225,16
61,124,010024000,2005-10-08,580000,,1878 WESTVIEW RD,Single Family,38.0487072,-78.499545,16
62,125,010024A00,2002-06-12,125000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
63,126,010024A00,2014-06-30,940000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
64,127,010024A00,2007-08-29,895000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
69,130,010026000,2007-06-19,889000,,1852 WESTVIEW RD,Single Family,38.048265,-78.499163,16
71,131,010027000,2008-08-04,483000,,1863 FIELD RD,Single Family,38.0480588,-78.4995894,16
73,133,010027000,2017-12-08,695000,,1863 FIELD RD,Single Family,38.0480588,-78.4995894,16
78,138,010028000,2012-10-10,469000,,1865 FIELD RD,Single Family,38.0482395,-78.49976690000001,16
88,148,010030000,2002-03-01,275000,,1869 FIELD RD,Single Family,38.0487321,-78.5002108,16
90,150,010030100,2013-06-07,473000,,1871 FIELD RD,Single Family,38.0489128,-78.5003884,16
92,152,010031000,2003-06-06,425000,,1873 FIELD RD,Single Family,38.0491431,-78.5006547,16
95,155,010031000,2008-12-15,545000,,1873 FIELD RD,Single Family,38.0491431,-78.5006547,16
99,159,010033000,2016-10-18,421000,,1884 FIELD RD,Single Family-1 Conversion,38.049213200000004,-78.50136490000001,16
102,162,010034000,2018-11-15,430000,,1882 FIELD RD,Single Family,38.0490777,-78.5012318,16
103,163,010034000,2019-02-15,470000,,1882 FIELD RD,Single Family,38.0490777,-78.5012318,16
105,165,010036000,2014-03-21,695940,,1872 FIELD RD,Single Family,38.0486347,-78.5008767,16
106,166,010036000,2010-11-01,389000,,1872 FIELD RD,Single Family,38.0486347,-78.5008767,16
108,168,010037000,2016-05-05,740000,,1870 FIELD RD,Single Family,38.0483724,-78.50069909999999,16
110,170,010037000,2001-07-02,345000,,1870 FIELD RD,Single Family,38.0483724,-78.50069909999999,16
113,173,010038000,2018-04-09,685000,,1868 FIELD RD,Single Family,38.048150899999996,-78.50052149999999,16
114,174,010038000,2019-03-29,1375000,,1868 FIELD RD,Single Family,38.048150899999996,-78.50052149999999,16
117,177,010039000,2007-07-13,520000,,1866 FIELD RD,Single Family,38.0479206,-78.5002552,16
118,178,010039000,2007-05-25,520000,,1866 FIELD RD,Single Family,38.0479206,-78.5002552,16
125,185,010040000,2004-07-28,420000,,1864 FIELD RD,Single Family,38.0476991,-78.5000777,16
128,188,010041000,2004-03-03,530000,,906 FENDALL TER,Single Family,38.0477999,-78.50109859999999,16
129,189,010041000,2019-06-06,1350000,,906 FENDALL TER,Single Family,38.0477999,-78.50109859999999,16
136,196,010043000,2020-01-07,680000,,1861 WINSTON RD,Single Family,38.047481,-78.500629,16
137,197,010043000,2018-07-17,660000,,1861 WINSTON RD,Single Family,38.047481,-78.500629,16
139,199,010043000,2011-05-25,315000,,1861 WINSTON RD,Single Family,38.047481,-78.500629,16
140,200,010043000,2015-05-06,590000,,1861 WINSTON RD,Single Family,38.047481,-78.500629,16
142,202,010044000,2003-11-18,575000,,1863 WINSTON RD,Single Family,38.04736870000001,-78.50127619999999,16
143,203,010045000,2008-07-30,745000,,1867 WINSTON RD,Single Family,38.0475174,-78.5015425,16
145,205,010045000,2006-11-29,725000,,1867 WINSTON RD,Single Family,38.0475174,-78.5015425,16
148,208,010046000,2014-02-07,699000,,901 FENDALL TER,Single Family,38.0477739,-78.5020751,16
149,209,010047000,2016-08-25,579000,,905 FENDALL TER,Single Family,38.0481644,-78.50189759999999,16
151,231,020003000,2007-08-10,948000,,1910 BARRACKS RD,Single Family,38.0489946,-78.49626009999999,16
155,233,020003000,2003-06-03,500000,,1910 BARRACKS RD,Single Family,38.0489946,-78.49626009999999,16
157,234,020004000,2005-05-06,377500,,120 BUCKINGHAM RD,Single Family,38.0487374,-78.4959272,16
161,238,020004000,2004-02-11,275000,,120 BUCKINGHAM RD,Single Family,38.0487374,-78.4959272,16
164,241,020006000,2009-04-23,600000,,108 BUCKINGHAM RD,Single Family,38.047924200000004,-78.4951281,16
166,243,020006000,2003-11-18,310000,,108 BUCKINGHAM RD,Single Family,38.047924200000004,-78.4951281,16
169,246,020006100,2016-10-05,355000,,110 BUCKINGHAM RD,Single Family,38.047981799999995,-78.49550550000001,16
171,248,020006100,2007-04-17,362500,,110 BUCKINGHAM RD,Single Family,38.047981799999995,-78.49550550000001,16
173,250,020006100,2004-05-03,300000,,110 BUCKINGHAM RD,Single Family,38.047981799999995,-78.49550550000001,16
175,252,020006200,2016-12-05,391000,,114 BUCKINGHAM RD,Single Family,38.0480941,-78.49581620000001,16
177,254,020006300,2012-11-29,386375,,118 BUCKINGHAM RD,Single Family,38.048374,-78.4961713,16
179,256,020006300,2015-06-30,412500,,118 BUCKINGHAM RD,Single Family,38.048374,-78.4961713,16
182,259,020007000,2013-01-24,335000,,104 BUCKINGHAM RD,Single Family-1 Conversion,38.0483064,-78.494662,16
184,261,020008000,2001-09-11,180000,,1820 BARRACKS RD,Single Family-1 Conversion,38.0482393,-78.4943957,16
186,263,020009000,2004-08-11,236000,,1812 BARRACKS RD,Single Family,38.0481358,-78.4941737,16
187,264,020010000,2005-03-02,430000,,116 HOWARD DR,Single Family-2 Conversion,38.0479669,-78.4945288,16
188,265,020010000,2016-12-20,155000,,116 HOWARD DR,Single Family-2 Conversion,38.0479669,-78.4945288,16
190,267,020010000,2019-08-19,373450,,116 HOWARD DR,Single Family-2 Conversion,38.0479669,-78.4945288,16
191,274,020012000,2005-12-14,350000,,112 HOWARD DR,Single Family-1 Conversion,38.04750070000001,-78.49435129999999,16
192,275,020012000,2006-06-12,350000,,112 HOWARD DR,Single Family-1 Conversion,38.04750070000001,-78.49435129999999,16
194,277,020012000,2016-07-28,379000,,112 HOWARD DR,Single Family-1 Conversion,38.04750070000001,-78.49435129999999,16
197,280,020013000,2014-05-23,265000,,110 HOWARD DR,Single Family-1 Conversion,38.0476375,-78.4940849,16
199,282,020015000,2019-01-25,252500,,1806 BARRACKS RD,Single Family-1 Conversion,38.0477656,-78.4937298,16
200,283,020015000,2019-10-17,550000,,1806 BARRACKS RD,Single Family-1 Conversion,38.0477656,-78.4937298,16
210,293,020016100,2010-06-03,350000,,1107 RUGBY RD,Single Family,38.047372100000004,-78.49346340000001,16
211,294,020016100,2016-06-30,478000,,1107 RUGBY RD,Single Family,38.047372100000004,-78.49346340000001,16
213,296,020016200,2015-01-28,415000,,1109 RUGBY RD,Single Family,38.0475471,-78.4933632,16
214,297,020016200,2013-10-16,83000,,1109 RUGBY RD,Single Family,38.0475471,-78.4933632,16
216,299,020017000,2000-02-29,208000,,1105 RUGBY RD,Single Family,38.047140500000005,-78.49359659999999,16
217,300,020017000,2001-08-31,339000,,1105 RUGBY RD,Single Family,38.047140500000005,-78.49359659999999,16
218,301,020019000,2020-05-13,1975000,,1101 RUGBY RD,Single Family,38.0468047,-78.4937076,16
219,302,020019000,2003-06-13,810000,,1101 RUGBY RD,Single Family,38.0468047,-78.4937076,16
222,305,020019100,2011-12-01,640000,,947 ROSSER LN,Single Family,38.0473682,-78.494662,16
223,306,020019100,2018-08-10,767500,,947 ROSSER LN,Single Family,38.0473682,-78.494662,16
225,308,020020000,2003-07-16,377000,,945 ROSSER LN,Single Family,38.04713220000001,-78.49475079999999,16
229,312,020023000,2001-03-06,768000,,1801 WESTVIEW RD,Single Family,38.046525700000004,-78.49583840000001,16
234,317,020023100,2002-03-01,740000,,1829 WESTVIEW RD,Single Family,38.0466599,-78.49637109999999,16
236,319,020023A00,2002-06-10,2967,,921 ROSSER LN,Single Family,38.0463092,-78.49550550000001,16
238,321,020023A00,2016-10-07,851000,,921 ROSSER LN,Single Family,38.0463092,-78.49550550000001,16
239,322,020023A00,2017-02-23,848000,,921 ROSSER LN,Single Family,38.0463092,-78.49550550000001,16
240,323,020023A00,2013-02-12,650000,,921 ROSSER LN,Single Family,38.0463092,-78.49550550000001,16
243,326,020025000,2010-09-02,1100000,,1839 WESTVIEW RD,Single Family,38.0476626,-78.49743649999999,16
245,328,020025000,2015-07-27,735000,,1839 WESTVIEW RD,Single Family,38.0476626,-78.49743649999999,16
247,333,020026000,2008-05-27,1000000,,1861 WESTVIEW RD,Single Family,38.0480679,-78.49823549999999,16
256,342,020028000,2010-12-29,675000,,1844 WESTVIEW RD,Single Family,38.047695000000004,-78.4985906,16
258,344,020028000,2002-07-23,385000,,1844 WESTVIEW RD,Single Family,38.047695000000004,-78.4985906,16
259,345,020029000,2002-03-04,425000,,1834 WESTVIEW RD,Single Family,38.0473693,-78.4983908,16
261,347,020029000,2002-05-28,456000,,1834 WESTVIEW RD,Single Family,38.0473693,-78.4983908,16
263,349,020029000,2015-06-12,776795,,1834 WESTVIEW RD,Single Family,38.0473693,-78.4983908,16
264,350,020031000,2015-06-12,155000,,1859 FIELD RD,Single Family,38.0474395,-78.49910109999999,16
281,367,020038000,2010-08-18,635000,,1858 FIELD RD,Single Family,38.0470258,-78.4994562,16
284,370,020040000,2019-12-18,308000,,1847 WINSTON RD,Single Family,38.0465261,-78.49976690000001,16
287,373,020041000,2016-05-31,650000,,1843 WINSTON RD,Single Family,38.046377500000006,-78.49950059999999,16
288,374,020042000,2018-04-02,593800,,1856 FIELD RD,Single Family,38.0469091,-78.49910109999999,16
289,375,020042000,2010-07-09,550000,,1856 FIELD RD,Single Family,38.0469091,-78.49910109999999,16
292,378,020042000,2020-04-24,814000,,1856 FIELD RD,Single Family,38.0469091,-78.49910109999999,16
294,380,020044000,2008-06-16,425000,,919 OLD FARM RD,Single Family,38.0468667,-78.49825770000001,16
296,382,020044000,2006-05-01,408400,,919 OLD FARM RD,Single Family,38.0468667,-78.49825770000001,16
301,387,020046000,2002-08-09,402000,,911 OLD FARM RD,Single Family,38.0464982,-78.49865720000001,16
302,388,020046000,2000-12-11,264000,,911 OLD FARM RD,Single Family,38.0464982,-78.49865720000001,16
303,389,020047000,2000-08-15,349900,,907 OLD FARM RD,Single Family,38.046270899999996,-78.4988347,16
310,396,020050000,2017-07-11,925000,,910 OLD FARM RD,Single Family,38.046101,-78.4981467,16
313,399,020051000,2015-04-21,515000,,912 OLD FARM RD,Single Family,38.0463012,-78.49790259999999,16
315,401,020051000,2011-01-18,418000,,912 OLD FARM RD,Single Family,38.0463012,-78.49790259999999,16
322,407,020052000,2004-05-20,450000,,916 OLD FARM RD,Single Family,38.0464739,-78.4977916,16
327,410,020053000,2012-11-21,200000,,1832 WESTVIEW RD,Single Family,38.0467193,-78.4975918,16
332,415,020054100,2005-01-18,420000,,1821 WINSTON RD,Single Family,38.0454489,-78.4979469,16
335,418,020054200,2010-07-13,650000,,905 COTTAGE LN,Single Family,38.0456762,-78.4977694,16
340,423,020054200,2003-10-31,525000,,905 COTTAGE LN,Single Family,38.0456762,-78.4977694,16
345,428,020054300,2013-05-22,635000,,907 COTTAGE LN,Single Family,38.0458626,-78.4975918,16
350,433,020054500,2004-08-23,20963,,911 COTTAGE LN,Single Family,38.046253,-78.49741429999999,16
352,435,020054500,2013-05-24,960000,,911 COTTAGE LN,Single Family,38.046253,-78.49741429999999,16
353,436,020054500,2009-05-14,210000,,911 COTTAGE LN,Single Family,38.046253,-78.49741429999999,16
357,440,020054600,2014-10-22,655000,,915 COTTAGE LN,Single Family,38.046480200000005,-78.4972367,16
360,446,020055101,2014-07-16,530000,,1828 WESTVIEW RD,Single Family,38.0462732,-78.4967928,16
362,448,020055110,2000-11-03,552500,,910 COTTAGE LN,Single Family-2 Conversion,38.046046000000004,-78.49697040000001,16
365,451,020055200,2011-06-27,500000,,1815 WINSTON RD,Single Family,38.0452419,-78.49750300000001,16
367,453,020055200,2013-09-06,750000,,1815 WINSTON RD,Single Family,38.0452419,-78.49750300000001,16
368,454,020055300,2012-04-30,450000,,901 ROSSER LN,Single Family,38.0450116,-78.4972367,16
371,457,020055400,2019-02-22,609300,,905 ROSSER LN,Single Family,38.045230100000005,-78.49697040000001,16
375,461,020055500,2011-04-22,560000,,907 ROSSER LN,Single Family,38.0454034,-78.49665959999999,16
377,463,020055500,2017-08-04,631250,,907 ROSSER LN,Single Family,38.0454034,-78.49665959999999,16
378,464,020055600,2003-06-16,405000,,909 ROSSER LN,Single Family,38.045581,-78.4963933,16
379,465,020055600,2000-08-02,265400,,909 ROSSER LN,Single Family,38.045581,-78.4963933,16
382,470,020055800,2011-07-28,942500,,1822 WESTVIEW RD,Single Family,38.04591679999999,-78.4962823,16
390,480,020057000,2007-06-01,395000,,902 ROSSER LN,Single Family,38.04484229999999,-78.4963489,16
391,481,020057000,2018-06-08,785000,,902 ROSSER LN,Single Family,38.04484229999999,-78.4963489,16
392,482,020057000,2013-09-09,720000,,902 ROSSER LN,Single Family,38.04484229999999,-78.4963489,16
393,483,020057000,2002-07-16,429000,,902 ROSSER LN,Single Family,38.04484229999999,-78.4963489,16
397,487,020058000,2008-02-01,191350,,908 ROSSER LN,Single Family,38.0451555,-78.49621570000001,16
400,490,020058000,2015-03-24,375000,,908 ROSSER LN,Single Family,38.0451555,-78.49621570000001,16
405,495,020060000,2003-11-25,575000,,918 ROSSER LN,Single Family-1 Conversion,38.0454745,-78.4957274,16
408,498,020061000,2015-01-20,850000,,920 ROSSER LN,Single Family-1 Conversion,38.0456929,-78.49546109999999,16
411,501,020061000,2000-04-19,335000,,920 ROSSER LN,Single Family-1 Conversion,38.0456929,-78.49546109999999,16
412,502,020061000,2012-07-23,753000,,920 ROSSER LN,Single Family-1 Conversion,38.0456929,-78.49546109999999,16
415,505,020062000,2007-02-27,515000,,924 ROSSER LN,Single Family,38.0458932,-78.49521690000002,16
416,506,020062000,2014-11-12,549000,,924 ROSSER LN,Single Family,38.0458932,-78.49521690000002,16
422,512,020063000,2001-08-17,110000,,928 ROSSER LN,Single Family,38.04609779999999,-78.4950172,16
426,516,020064000,2012-08-23,297500,,932 ROSSER LN,Single Family,38.0463207,-78.4947952,16
430,520,020065000,2012-02-17,367500,,938 ROSSER LN,Single Family,38.0465027,-78.4945732,16
438,528,020066000,2015-06-09,495000,,942 ROSSER LN,Single Family,38.046694200000005,-78.49424029999999,16
439,529,020066000,2002-11-15,309000,,942 ROSSER LN,Single Family,38.046694200000005,-78.49424029999999,16
444,534,020068000,2017-10-20,2900000,,1007 RUGBY RD,Single Family,38.046152,-78.4937076,16
452,548,020070000,2008-11-21,44900,,929 RUGBY RD,Single Family-1 Conversion,38.0454501,-78.4948618,16
456,549,020070000,2004-08-20,1100000,,929 RUGBY RD,Single Family-1 Conversion,38.0454501,-78.4948618,16
471,559,020072000,2016-02-02,695600,,921 RUGBY RD,Single Family,38.0451494,-78.4953279,16
474,562,020072000,2020-04-29,990000,,921 RUGBY RD,Single Family,38.0451494,-78.4953279,16
476,564,020074000,2005-08-11,790000,,917 RUGBY RD,Single Family,38.0449485,-78.4957718,16
481,569,020075000,2003-06-03,475000,,915 RUGBY RD,Single Family,38.044847999999995,-78.4959938,16
485,573,030001000,2010-09-15,465000,,1106 RUGBY RD,Single Family,38.046953,-78.492731,19
488,576,030001000,2012-06-22,480000,,1106 RUGBY RD,Single Family,38.046953,-78.492731,19
494,582,030004000,2002-12-10,213000,,1711 RUGBY AVE,Single Family,38.046606700000005,-78.49190970000001,19
495,583,030004000,2019-03-05,735000,,1711 RUGBY AVE,Single Family,38.046606700000005,-78.49190970000001,19
497,585,030004000,2008-07-03,435500,,1711 RUGBY AVE,Single Family,38.046606700000005,-78.49190970000001,19
499,587,030004000,2000-04-28,153000,,1711 RUGBY AVE,Single Family,38.046606700000005,-78.49190970000001,19
510,597,030009000,2016-11-02,260000,,1641 RUGBY AVE,Single Family,38.046376,-78.4904003,19
514,601,030010000,2013-07-10,450000,,1637 RUGBY AVE,Single Family-1 Conversion,38.046358399999995,-78.4902228,19
515,602,030010000,2009-10-28,399900,,1637 RUGBY AVE,Single Family-1 Conversion,38.046358399999995,-78.4902228,19
516,603,030010000,2018-06-05,595000,,1637 RUGBY AVE,Single Family-1 Conversion,38.046358399999995,-78.4902228,19
517,604,030010000,2007-08-13,370000,,1637 RUGBY AVE,Single Family-1 Conversion,38.046358399999995,-78.4902228,19
519,606,030011000,2018-11-27,200000,,1627 RUGBY AVE,Single Family,38.0463058,-78.48969,19
529,616,030015000,2005-07-20,380000,,1105 HERNDON RD,Single Family,38.046318400000004,-78.4885802,19
530,617,030015000,2013-05-29,427000,,1105 HERNDON RD,Single Family,38.046318400000004,-78.4885802,19
531,618,030015000,2016-08-17,460000,,1105 HERNDON RD,Single Family,38.046318400000004,-78.4885802,19
532,619,030015000,2003-09-08,350000,,1105 HERNDON RD,Single Family,38.046318400000004,-78.4885802,19
533,620,030015000,2001-02-07,225000,,1105 HERNDON RD,Single Family,38.046318400000004,-78.4885802,19
534,621,030016000,2005-07-27,425000,,1549 RUGBY AVE,Single Family,38.04614779999999,-78.48809190000001,19
535,622,030016000,2015-07-09,739000,,1549 RUGBY AVE,Single Family,38.04614779999999,-78.48809190000001,19
538,625,030019000,2003-09-10,259900,,1600 RUGBY AVE,Single Family,38.0455679,-78.4880031,19
543,630,030020000,2013-07-18,420000,,1606 RUGBY AVE,Single Family,38.045598600000005,-78.48831379999999,19
547,634,030021000,2017-06-01,616200,,1610 RUGBY AVE,Single Family,38.045629299999995,-78.4886246,19
550,636,030022000,2012-06-15,402000,,1620 RUGBY AVE,Single Family-2 Conversion,38.0456644,-78.4889797,19
556,639,030023000,2003-03-24,258000,,1618 RUGBY AVE,Single Family,38.0457403,-78.4893349,19
558,640,030023000,2017-12-01,520000,,1618 RUGBY AVE,Single Family,38.0457403,-78.4893349,19
560,641,030023000,2001-08-07,175000,,1618 RUGBY AVE,Single Family,38.0457403,-78.4893349,19
567,646,030024100,2005-09-15,500000,,1621 WESTWOOD RD,Single Family,38.045267700000004,-78.4897122,19
569,648,030025000,2010-11-15,307500,,1619 WESTWOOD RD,Single Family,38.045218799999994,-78.4894237,19
573,652,030026000,2010-08-04,630000,,1617 WESTWOOD RD,Single Family,38.0451837,-78.4890685,19
580,659,030029000,2020-01-21,435000,,1610 WESTWOOD RD,Single Family,38.0445511,-78.488447,19
591,670,030033000,2019-05-23,398000,,1629 HARDWOOD AVE,Single Family,38.044216399999996,-78.48960129999999,19
594,673,030034000,2000-06-19,181500,,1625 HARDWOOD AVE,Single Family,38.0441449,-78.48929050000001,19
595,674,030035000,2015-12-04,327000,,1619 HARDWOOD AVE,Single Family,38.0441054,-78.48889100000001,19
600,679,030037000,2007-04-30,270000,,1624 HARDWOOD AVE,Single Family,38.0436597,-78.4893349,19
603,682,030038000,2000-03-30,132000,,1630 HARDWOOD AVE,Single Family,38.04374,-78.4897344,19
608,687,030040000,2018-06-14,415000,,1147 KENSINGTON AVE,Duplex,38.0442327,-78.4901784,19
611,690,030041000,2005-03-18,341000,,1151 KENSINGTON AVE,Single Family,38.044518200000006,-78.4901784,19
613,692,030042000,2016-08-26,459000,,1155 KENSINGTON AVE,Single Family,38.0448126,-78.4902672,19
614,693,030042000,2007-06-29,420000,,1155 KENSINGTON AVE,Single Family,38.0448126,-78.4902672,19
616,695,030042000,2003-07-22,266000,,1155 KENSINGTON AVE,Single Family,38.0448126,-78.4902672,19
618,697,030043000,2019-07-02,653000,,1159 KENSINGTON AVE,Single Family-1 Conversion,38.0450686,-78.4902783,19
619,698,030043000,2001-07-02,245000,,1159 KENSINGTON AVE,Single Family-1 Conversion,38.0450686,-78.4902783,19
624,703,030045000,2006-02-28,799000,,1698 RUGBY AVE,Single Family,38.0458456,-78.4904003,19
626,705,030045000,2017-06-01,769000,,1698 RUGBY AVE,Single Family,38.0458456,-78.4904003,19
628,707,030045100,2004-09-15,238000,,1165 KENSINGTON AVE,Single Family,38.0456197,-78.4901784,19
629,708,030045100,2009-12-17,285000,,1165 KENSINGTON AVE,Single Family,38.0456197,-78.4901784,19
633,712,030046000,2012-04-30,500000,,1700 RUGBY AVE,Single Family,38.0458619,-78.4909775,19
634,713,030046000,2003-07-02,455000,,1700 RUGBY AVE,Single Family,38.0458619,-78.4909775,19
636,715,030047000,2001-01-10,258000,,1702 RUGBY AVE,Single Family,38.045929,-78.49124379999999,19
639,718,030048000,2004-06-07,309000,,1706 RUGBY AVE,Single Family,38.045955299999996,-78.49151020000001,19
640,719,030048000,2013-06-04,341000,,1706 RUGBY AVE,Single Family,38.045955299999996,-78.49151020000001,19
644,723,030049000,2004-05-03,384000,,1708 RUGBY AVE,Single Family-1 Conversion,38.045986,-78.49182090000001,19
647,726,030050000,2005-07-28,380000,,1710 RUGBY AVE,Single Family,38.0460443,-78.4919985,19
648,727,030050000,2014-05-27,349900,,1710 RUGBY AVE,Single Family,38.0460443,-78.4919985,19
651,730,030051000,2014-02-21,417438,,1718 RUGBY AVE,Single Family,38.0460386,-78.4923536,19
653,732,030051000,2018-06-19,465000,,1718 RUGBY AVE,Single Family,38.0460386,-78.4923536,19
654,733,030051000,2015-02-06,290000,,1718 RUGBY AVE,Single Family,38.0460386,-78.4923536,19
655,734,030051000,2006-08-02,379500,,1718 RUGBY AVE,Single Family,38.0460386,-78.4923536,19
656,735,030052000,2004-07-27,540000,,1006 RUGBY RD,Single Family,38.0461189,-78.4927532,19
658,737,030052000,2016-12-09,630000,,1006 RUGBY RD,Single Family,38.0461189,-78.4927532,19
660,739,030052100,2002-08-15,325000,,1004 RUGBY RD,Single Family,38.045792600000006,-78.4927532,19
662,741,030052100,2006-05-05,390000,,1004 RUGBY RD,Single Family,38.045792600000006,-78.4927532,19
671,750,030056000,2014-01-24,100000,,1218 PRESTON AVE,Single Family,38.0450638,-78.49288940000001,19
678,759,030059000,2008-07-23,122744,,1214 PRESTON AVE,Single Family,38.0449434,-78.4925384,19
679,760,030059000,2004-01-09,160000,,1214 PRESTON AVE,Single Family,38.0449434,-78.4925384,19
680,761,030059000,2008-08-15,126000,,1214 PRESTON AVE,Single Family,38.0449434,-78.4925384,19
686,769,030060100,2001-03-13,246000,,1609 CABELL AVE,Single Family,38.043940500000005,-78.4921761,19
688,771,030060100,2005-05-24,375000,,1609 CABELL AVE,Single Family,38.043940500000005,-78.4921761,19
691,774,030060101,2005-06-24,410000,,117 ROBINSON WOODS,Single Family,38.0449516,-78.49208730000001,19
692,775,030060101,2011-08-05,340000,,117 ROBINSON WOODS,Single Family,38.0449516,-78.49208730000001,19
696,779,030060120,2010-04-15,620000,,121 ROBINSON WOODS,Single Family,38.0449624,-78.49157679999999,19
698,781,030060120,2001-03-23,50000,,121 ROBINSON WOODS,Single Family,38.0449624,-78.49157679999999,19
700,783,030060130,2018-07-26,543510,,123 ROBINSON WOODS,Single Family,38.044885799999996,-78.49142140000001,19
704,787,030060130,2000-01-14,211963,,123 ROBINSON WOODS,Single Family,38.044885799999996,-78.49142140000001,19
705,788,030060140,2002-02-13,10000,,125 ROBINSON WOODS,Single Family,38.0447553,-78.4911328,19
708,791,030060140,2007-05-25,585000,,125 ROBINSON WOODS,Single Family,38.0447553,-78.4911328,19
709,792,030060150,2001-02-14,238306,,112 ROBINSON WOODS,Single Family,38.044491,-78.4915546,19
710,793,030060160,2000-11-17,276935,,110 ROBINSON WOODS,Single Family,38.0443643,-78.49151020000001,19
711,794,030060160,2011-06-13,498000,,110 ROBINSON WOODS,Single Family,38.0443643,-78.49151020000001,19
712,795,030060170,2013-04-11,449000,,108 ROBINSON WOODS,Single Family,38.0442419,-78.49151020000001,19
713,796,030060170,2008-05-01,447500,,108 ROBINSON WOODS,Single Family,38.0442419,-78.49151020000001,19
714,797,030060170,2000-07-13,244900,,108 ROBINSON WOODS,Single Family,38.0442419,-78.49151020000001,19
715,798,030060180,2000-12-21,289332,,106 ROBINSON WOODS,Single Family,38.0441151,-78.4914658,19
716,799,030060190,2001-05-03,268213,,104 ROBINSON WOODS,Single Family,38.043992700000004,-78.4914658,19
718,801,030060200,2004-07-16,370000,,101 ROBINSON WOODS,Single Family,38.0438734,-78.49190970000001,19
719,802,030060200,2000-09-19,240000,,101 ROBINSON WOODS,Single Family,38.0438734,-78.49190970000001,19
720,803,030060200,2013-08-16,401000,,101 ROBINSON WOODS,Single Family,38.0438734,-78.49190970000001,19
721,804,030060201,2001-07-11,256519,,102 ROBINSON WOODS,Single Family,38.043870299999995,-78.4914658,19
724,807,030060210,2001-10-01,248075,,100 ROBINSON WOODS,Single Family,38.0437436,-78.49142140000001,19
726,809,030060300,2003-05-29,302000,,103 ROBINSON WOODS,Single Family,38.0439958,-78.49190970000001,19
728,811,030060300,2019-10-10,503000,,103 ROBINSON WOODS,Single Family,38.0439958,-78.49190970000001,19
731,814,030060400,2000-07-12,208825,,105 ROBINSON WOODS,Single Family,38.0441182,-78.49190970000001,19
733,816,030060400,2009-09-01,415500,,105 ROBINSON WOODS,Single Family,38.0441182,-78.49190970000001,19
734,817,030060500,2000-08-24,219700,,107 ROBINSON WOODS,Single Family,38.0442406,-78.49190970000001,19
736,819,030060600,2005-03-02,620000,,109 ROBINSON WOODS,Single Family,38.0444081,-78.4919541,19
737,820,030060600,2004-01-07,190000,,109 ROBINSON WOODS,Single Family,38.0444081,-78.4919541,19
738,821,030060600,2015-05-20,684500,,109 ROBINSON WOODS,Single Family,38.0444081,-78.4919541,19
741,824,030060700,2004-01-07,190000,,111 ROBINSON WOODS,Single Family,38.0445845,-78.49208730000001,19
742,825,030060700,2018-05-01,625000,,111 ROBINSON WOODS,Single Family,38.0445845,-78.49208730000001,19
743,826,030060700,2006-06-01,807794,,111 ROBINSON WOODS,Single Family,38.0445845,-78.49208730000001,19
744,827,030060800,2001-06-13,283500,,113 ROBINSON WOODS,Single Family,38.044661700000006,-78.4920429,19
