,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
15630,17815,240132000,2020-05-01,95000,,709 PROSPECT AVE,Single Family Attached,38.0243734,-78.4949395,8
15633,17818,240132000,2002-12-23,53792,,709 PROSPECT AVE,Single Family Attached,38.0243734,-78.4949395,8
15636,17821,240132000,2020-02-03,70000,,709 PROSPECT AVE,Single Family Attached,38.0243734,-78.4949395,8
15641,17826,240133000,2014-10-01,189000,,711 PROSPECT AVE,Single Family Attached,38.0243289,-78.49496740000001,8
15644,17829,240133000,2020-03-09,110000,,711 PROSPECT AVE,Single Family Attached,38.0243289,-78.49496740000001,8
15646,17831,240133000,2009-04-10,104000,,711 PROSPECT AVE,Single Family Attached,38.0243289,-78.49496740000001,8
15651,17836,240134000,2006-05-24,127500,,713 PROSPECT AVE,Single Family Attached,38.024192,-78.495003,8
15653,17838,240134000,2008-10-31,95000,,713 PROSPECT AVE,Single Family Attached,38.024192,-78.495003,8
15654,17839,240134000,2008-09-22,122900,,713 PROSPECT AVE,Single Family Attached,38.024192,-78.495003,8
15659,17844,240136000,2004-02-05,54500,,717 PROSPECT AVE,Single Family Attached,38.0239963,-78.4951503,8
15662,17847,240137000,2009-04-30,95000,,719 PROSPECT AVE,Single Family Attached,38.023962,-78.495195,8
15663,17848,240137000,2008-12-10,121200,,719 PROSPECT AVE,Single Family Attached,38.023962,-78.495195,8
15664,17849,240137000,2008-08-29,92520,,719 PROSPECT AVE,Single Family Attached,38.023962,-78.495195,8
15667,17852,240138000,2011-09-28,61000,,721 PROSPECT AVE,Single Family Attached,38.023876,-78.495264,8
15669,17854,240138000,2011-05-02,85383,,721 PROSPECT AVE,Single Family Attached,38.023876,-78.495264,8
15673,17858,240139000,2004-10-26,83000,,723 PROSPECT AVE,Single Family Attached,38.023784899999995,-78.495324,8
15675,17860,240140000,2001-12-05,36000,,725 PROSPECT AVE,Single Family Attached,38.023709999999994,-78.49539,8
15679,17864,240140000,2009-05-08,95000,,725 PROSPECT AVE,Single Family Attached,38.023709999999994,-78.49539,8
15682,17867,240140000,2001-04-16,44285,,725 PROSPECT AVE,Single Family Attached,38.023709999999994,-78.49539,8
15683,17868,240140000,2017-05-08,111000,,725 PROSPECT AVE,Single Family Attached,38.023709999999994,-78.49539,8
15684,17869,240141000,2006-09-25,140000,,727 PROSPECT AVE,Single Family Attached,38.023632,-78.495447,8
15687,17872,240141000,2005-04-18,112000,,727 PROSPECT AVE,Single Family Attached,38.023632,-78.495447,8
15689,17874,240142000,2020-03-09,103000,,729 PROSPECT AVE,Single Family Attached,38.023553,-78.49550699999999,8
15692,17877,240142000,2000-01-14,155000,,729 PROSPECT AVE,Single Family Attached,38.023553,-78.49550699999999,8
15695,17880,240142000,2020-03-09,70000,,729 PROSPECT AVE,Single Family Attached,38.023553,-78.49550699999999,8
15696,17881,240143000,2019-05-08,80000,,731 PROSPECT AVE,Single Family Attached,38.023478999999995,-78.49556700000001,8
15699,17884,240143000,2000-01-14,155000,,731 PROSPECT AVE,Single Family Attached,38.023478999999995,-78.49556700000001,8
15708,17893,240144000,2000-01-14,155000,,733 PROSPECT AVE,Single Family Attached,38.023402000000004,-78.495626,8
15711,17896,240145000,2000-01-14,155000,,735 PROSPECT AVE,Single Family Attached,38.023322,-78.49568199999999,8
15719,17904,240146000,2002-06-03,66000,,737 PROSPECT AVE,Single Family Attached,38.023246,-78.495745,8
15721,17906,240146000,2005-05-23,98500,,737 PROSPECT AVE,Single Family Attached,38.023246,-78.495745,8
15722,17907,240146000,2005-08-12,110000,,737 PROSPECT AVE,Single Family Attached,38.023246,-78.495745,8
15730,17915,240147000,2002-06-03,71500,,739 PROSPECT AVE,Single Family Attached,38.023168,-78.495797,8
15734,17919,240147000,2005-11-16,108250,,739 PROSPECT AVE,Single Family Attached,38.023168,-78.495797,8
15736,17921,240147000,2005-05-23,98500,,739 PROSPECT AVE,Single Family Attached,38.023168,-78.495797,8
15750,17935,240151000,2018-07-03,80000,,747 PROSPECT AVE,Single Family Attached,38.022863,-78.496042,8
15751,17936,240151000,2001-07-02,40000,,747 PROSPECT AVE,Single Family Attached,38.022863,-78.496042,8
15757,17942,240153000,2013-11-25,74900,,751 PROSPECT AVE,Single Family Attached,38.022709000000006,-78.496161,8
15759,17944,240153000,2006-05-11,130000,,751 PROSPECT AVE,Single Family Attached,38.022709000000006,-78.496161,8
15760,17945,240153000,2013-05-17,109580,,751 PROSPECT AVE,Single Family Attached,38.022709000000006,-78.496161,8
15765,17950,240154000,2017-09-29,136950,,753 PROSPECT AVE,Single Family Attached,38.02263,-78.4962199,8
15771,17956,240155000,2002-02-01,64000,,755 PROSPECT AVE,Single Family Attached,38.022549,-78.4962819,8
15772,17957,240156000,2001-06-06,64100,,757 PROSPECT AVE,Single Family Attached,38.022469,-78.496337,8
15779,17964,240158000,2015-05-22,72000,,761 PROSPECT AVE,Single Family Attached,38.022317,-78.49645699999999,8
15783,17968,240159000,2001-07-10,57900,,763 PROSPECT AVE,Single Family Attached,38.022240999999994,-78.496516,8
15784,17969,240159000,2020-02-10,120000,,763 PROSPECT AVE,Single Family Attached,38.022240999999994,-78.496516,8
15785,17970,240159000,2016-12-01,113400,,763 PROSPECT AVE,Single Family Attached,38.022240999999994,-78.496516,8
15786,17971,240159000,2009-11-06,106000,,763 PROSPECT AVE,Single Family Attached,38.022240999999994,-78.496516,8
15789,17974,240160000,2007-06-11,120000,,765 PROSPECT AVE,Single Family Attached,38.02216,-78.496575,8
15790,17975,240160000,2004-07-28,71500,,765 PROSPECT AVE,Single Family Attached,38.02216,-78.496575,8
15791,17976,240160000,2004-12-30,91000,,765 PROSPECT AVE,Single Family Attached,38.02216,-78.496575,8
15796,17981,240162000,2008-07-31,140000,,769 PROSPECT AVE,Single Family Attached,38.022003999999995,-78.49669499999999,8
15797,17982,240162000,2000-11-17,54500,,769 PROSPECT AVE,Single Family Attached,38.022003999999995,-78.49669499999999,8
15798,17983,240163000,2002-07-22,60000,,771 PROSPECT AVE,Single Family Attached,38.021931,-78.49675490000001,8
15801,17986,240163000,2003-08-14,88400,,771 PROSPECT AVE,Single Family Attached,38.021931,-78.49675490000001,8
15802,17987,240164000,2007-06-01,132450,,773 PROSPECT AVE,Single Family Attached,38.021853,-78.496813,8
15805,17990,240164000,2001-04-03,46000,,773 PROSPECT AVE,Single Family Attached,38.021853,-78.496813,8
15810,17995,240166000,2002-06-03,71134,,777 PROSPECT AVE,Single Family Attached,38.021682299999995,-78.496926,8
15813,17998,240167000,2004-09-28,99900,,779 PROSPECT AVE,Single Family Attached,38.021615999999995,-78.497013,8
15815,18000,240168000,2014-07-26,25000,,770 ORANGEDALE AVE,Single Family Attached,38.021769899999995,-78.497336,8
15817,18002,240168000,2014-11-21,76500,,770 ORANGEDALE AVE,Single Family Attached,38.021769899999995,-78.497336,8
15819,18004,240169000,2004-05-25,86500,,768 ORANGEDALE AVE,Single Family Attached,38.0218398,-78.4972811,8
15823,18008,240170000,2000-05-16,58500,,766 ORANGEDALE AVE,Single Family Attached,38.021933000000004,-78.49721,8
